FrameNum, Time [ms], Vection Response (0:no, 1: yes )
1,0,0,
2,20,0,
3,74.0308,0,
4,88.6402,0,
5,98.9937,0,
6,120.0913,0,
7,132.4628,0,
8,151.6942,0,
9,166.1874,0,
10,187.3967,0,
11,201.8691,0,
12,215.5241,0,
13,235.1431,0,
14,249.1525,0,
15,266.315,0,
16,282.2201,0,
17,296.8821,0,
18,315.7483,0,
19,331.9743,0,
20,350.029,0,
21,369.076,0,
22,387.1195,0,
23,400.0118,0,
24,415.1496,0,
25,434.1084,0,
26,452.2152,0,
27,467.4364,0,
28,481.4782,0,
29,504.0823,0,
30,515.8698,0,
31,531.8096,0,
32,547.9217,0,
33,570.515,0,
34,585.2049,0,
35,598.1317,0,
36,614.1391,0,
37,634.5166,0,
38,648.2372,0,
39,667.862,0,
40,682.1989,0,
41,698.5945,0,
42,717.9263,0,
43,733.2944,0,
44,755.5771,0,
45,763.339,0,
46,784.4099,0,
47,802.2169,0,
48,816.5442,0,
49,834.3495,0,
50,849.3731,0,
51,866.9684,0,
52,882.8268,0,
53,898.1636,0,
54,921.6805,0,
55,932.0093,0,
56,948.0973,0,
57,965.6893,0,
58,983.6104,0,
59,1001.772,0,
60,1021.994,0,
61,1031.049,0,
62,1048.485,0,
63,1066.002,0,
64,1088.531,0,
65,1096.948,0,
66,1117.973,0,
67,1133.338,0,
68,1154.292,0,
69,1164.074,0,
70,1181.677,0,
71,1200.037,0,
72,1216.449,0,
73,1232.232,0,
74,1247.75,0,
75,1267.359,0,
76,1282.651,0,
77,1298.637,0,
78,1316.012,0,
79,1334.157,0,
80,1350.926,0,
81,1365.908,0,
82,1384.395,0,
83,1399.927,0,
84,1416.172,0,
85,1433.212,0,
86,1448.354,0,
87,1464.258,0,
88,1481.481,0,
89,1497.998,0,
90,1514.874,0,
91,1532.896,0,
92,1550.313,0,
93,1565.604,0,
94,1580.657,0,
95,1598.478,0,
96,1622.835,0,
97,1631.388,0,
98,1649.976,0,
99,1666.332,0,
100,1682.084,0,
101,1699.602,0,
102,1717.758,0,
103,1731.105,0,
104,1749.102,0,
105,1765.287,0,
106,1784.875,0,
107,1799.501,0,
108,1817.097,0,
109,1831.703,0,
110,1851.215,0,
111,1867.067,0,
112,1882.861,0,
113,1898.165,0,
114,1916.466,0,
115,1931.748,0,
116,1949.784,0,
117,1964.932,0,
118,1983.461,0,
119,1999.565,0,
120,2015.682,0,
121,2032.018,0,
122,2048.118,0,
123,2065.96,0,
124,2085.349,0,
125,2099.789,0,
126,2117.006,0,
127,2131.942,0,
128,2151.216,0,
129,2167.852,0,
130,2182.745,0,
131,2197.828,0,
132,2215.487,0,
133,2231.207,0,
134,2254.255,0,
135,2266.412,0,
136,2281.085,0,
137,2299.205,0,
138,2316.085,0,
139,2334.371,0,
140,2356.01,0,
141,2365.118,0,
142,2383.392,0,
143,2400.766,0,
144,2415.224,0,
145,2433.3,0,
146,2451.174,0,
147,2465.681,0,
148,2482.959,0,
149,2498.306,0,
150,2515.165,0,
